Day;Hour;Consumption
Monday;0;200
Monday;1;200
Monday;2;200
Monday;3;200
Monday;4;200
Monday;5;200
Monday;6;200
Monday;7;200
Monday;8;200
Monday;9;200
Monday;10;200
Monday;11;200
Monday;12;200
Monday;13;200
Monday;14;200
Monday;15;200
Monday;16;200
Monday;17;200
Monday;18;200
Monday;19;200
Monday;20;200
Monday;21;200
Monday;22;200
Monday;23;200
Tuesday;0;200
Tuesday;1;200
Tuesday;2;200
Tuesday;3;200
Tuesday;4;200
Tuesday;5;200
Tuesday;6;200
Tuesday;7;200
Tuesday;8;200
Tuesday;9;200
Tuesday;10;200
Tuesday;11;200
Tuesday;12;200
Tuesday;13;200
Tuesday;14;200
Tuesday;15;200
Tuesday;16;200
Tuesday;17;200
Tuesday;18;200
Tuesday;19;200
Tuesday;20;200
Tuesday;21;200
Tuesday;22;200
Tuesday;23;200
Wednesday;0;200
Wednesday;1;200
Wednesday;2;200
Wednesday;3;200
Wednesday;4;200
Wednesday;5;200
Wednesday;6;200
Wednesday;7;200
Wednesday;8;200
Wednesday;9;200
Wednesday;10;200
Wednesday;11;200
Wednesday;12;200
Wednesday;13;200
Wednesday;14;200
Wednesday;15;200
Wednesday;16;200
Wednesday;17;200
Wednesday;18;200
Wednesday;19;200
Wednesday;20;200
Wednesday;21;200
Wednesday;22;200
Wednesday;23;200
Thursday;0;200
Thursday;1;200
Thursday;2;200
Thursday;3;200
Thursday;4;200
Thursday;5;200
Thursday;6;200
Thursday;7;200
Thursday;8;200
Thursday;9;200
Thursday;10;200
Thursday;11;200
Thursday;12;200
Thursday;13;200
Thursday;14;200
Thursday;15;200
Thursday;16;200
Thursday;17;200
Thursday;18;200
Thursday;19;200
Thursday;20;200
Thursday;21;200
Thursday;22;200
Thursday;23;200
Friday;0;200
Friday;1;200
Friday;2;200
Friday;3;200
Friday;4;200
Friday;5;200
Friday;6;200
Friday;7;200
Friday;8;200
Friday;9;200
Friday;10;200
Friday;11;200
Friday;12;200
Friday;13;200
Friday;14;200
Friday;15;200
Friday;16;200
Friday;17;200
Friday;18;200
Friday;19;200
Friday;20;200
Friday;21;200
Friday;22;200
Friday;23;200
Saturday;0;200
Saturday;1;200
Saturday;2;200
Saturday;3;200
Saturday;4;200
Saturday;5;200
Saturday;6;200
Saturday;7;200
Saturday;8;200
Saturday;9;200
Saturday;10;200
Saturday;11;200
Saturday;12;200
Saturday;13;200
Saturday;14;200
Saturday;15;200
Saturday;16;200
Saturday;17;200
Saturday;18;200
Saturday;19;200
Saturday;20;200
Saturday;21;200
Saturday;22;200
Saturday;23;200
Sunday;0;200
Sunday;1;200
Sunday;2;200
Sunday;3;200
Sunday;4;200
Sunday;5;200
Sunday;6;200
Sunday;7;200
Sunday;8;200
Sunday;9;200
Sunday;10;200
Sunday;11;200
Sunday;12;200
Sunday;13;200
Sunday;14;200
Sunday;15;200
Sunday;16;200
Sunday;17;200
Sunday;18;200
Sunday;19;200
Sunday;20;200
Sunday;21;200
Sunday;22;200
Sunday;23;200
